Rank,Song,Artist,Peak,Top 10,Hot 100,Points
1,Physical,Olivia Newton-John,#1 (10 weeks),15,26,"1,903,520"
2,Bette Davis Eyes,Kim Carnes,#1 (9 weeks),14,26,"1,807,980"
3,That's What Friends Are For,Dionne and Friends,#1 (4 weeks),10,23,"1,778,700"
4,Endless Love,Diana Ross & Lionel Richie,#1 (9 weeks),13,25,"1,743,480"
5,"Say You, Say Me",Lionel Richie,#1 (4 weeks),9,20,"1,698,170"
6,Every Breath You Take,The Police,#1 (8 weeks),13,22,"1,573,680"
7,Another Day in Paradise,Phil Collins,#1 (4 weeks),10,18,"1,540,840"
8,Walk Like an Egyptian,The Bangles,#1 (4 weeks),8,23,"1,533,090"
9,Eye of the Tiger,Survivor,#1 (6 weeks),15,25,"1,528,690"
10,Flashdance...What a Feeling,Irene Cara,#1 (6 weeks),14,25,"1,497,350"
11,Say Say Say,Paul McCartney ft.Michael Jackson,#1 (6 weeks),13,22,"1,463,810"
12,Like a Virgin,Madonna,#1 (6 weeks),9,19,"1,448,260"
13,Another One Bites the Dust,Queen,#1 (3 weeks),15,31,"1,442,640"
14,Call Me,Blondie,#1 (6 weeks),12,25,"1,433,520"
15,Faith,George Michael,#1 (4 weeks),9,20,"1,393,870"
16,Centerfold,The J. Geils Band,#1 (6 weeks),12,25,"1,367,820"
17,On My Own,Patti LaBelle &Michael McDonald,#1 (3 weeks),7,23,"1,349,040"
18,Lady,Kenny Rogers,#1 (6 weeks),13,25,"1,315,680"
19,Careless Whisper,George Michael,#1 (3 weeks),9,21,"1,306,300"
20,When Doves Cry,Prince & The Revolution,#1 (5 weeks),11,21,"1,301,450"
21,All Night Long (All Night),Lionel Richie,#1 (4 weeks),13,24,"1,298,630"
22,Jump,Van Halen,#1 (5 weeks),10,21,"1,288,350"
23,Waiting For a Girl Like You,Foreigner,#2,15,23,"1,282,480"
24,I Love Rock n' Roll,Joan Jett & The Blackhearts,#1 (7 weeks),12,20,"1,281,090"
25,Ebony & Ivory,Paul McCartney &Stevie Wonder,#1 (7 weeks),12,19,"1,258,320"
26,Miss You Much,Janet Jackson,#1 (4 weeks),8,20,"1,252,090"
27,Billie Jean,Michael Jackson,#1 (7 weeks),11,24,"1,249,510"
28,(Just Like) Starting Over,John Lennon,#1 (5 weeks),14,22,"1,246,460"
29,Abracadabra,Steve Miller Band,#1 (2 weeks),14,25,"1,228,700"
30,Do That to Me One More Time,Captain & Tenille,#1,14,27,"1,218,610"
31,Alone,Heart,#1 (3 weeks),8,21,"1,211,080"
32,Hurts So Good,John Mellencamp,#2,16,28,"1,210,890"
33,Look Away,Chicago,#1 (2 weeks),8,24,"1,209,440"
34,Straight Up,Paula Abdul,#1 (3 weeks),7,25,"1,195,840"
35,Every Rose Has its Thorn,Poison,#1 (3 weeks),8,21,"1,187,880"
36,Upside Down,Diana Ross,#1 (4 weeks),14,29,"1,185,350"
37,Livin' on a Prayer,Bon Jovi,#1 (4 weeks),7,21,"1,181,200"
38,What's Love Got to Do With It,Tina Turner,#1 (3 weeks),10,28,"1,175,030"
39,Maneater,Hall & Oates,#1 (4 weeks),13,23,"1,120,640"
40,I Want to Know What Love Is,Foreigner,#1 (2 weeks),8,21,"1,114,620"
41,Woman in Love,Barbra Streisand,#1 (3 weeks),11,24,"1,107,760"
42,Total Eclipse of the Heart,Bonnie Tyler,#1 (4 weeks),11,29,"1,103,460"
43,Don't Know Much,Linda Ronstadt & Aaron Neville,#2,8,26,"1,098,740"
44,Another Brick in the Wall,Pink Floyd,#1 (4 weeks),12,25,"1,097,160"
45,Jessie's Girl,Rick Springfield,#1 (2 weeks),12,32,"1,090,040"
46,Don't You Want Me,The Human League,#1 (3 weeks),12,28,"1,086,820"
47,Roll With It,Steve Winwood,#1 (4 weeks),7,18,"1,081,250"
48,Nothing's Gonna Stop Us Now,Starship,#1 (2 weeks),8,22,"1,080,110"
49,Crazy For You,Madonna,#1,9,21,"1,074,540"
50,Against All Odds (Take a Look at Me Now),Phil Collins,#1 (3 weeks),13,24,"1,066,590"
51,I Wanna Dance With Somebody,Whitney Houston,#1 (2 weeks),9,19,"1,066,110"
52,My Prerogative,Bobby Brown,#1,7,24,"1,060,980"
53,We Are the World,USA for Africa,#1 (4 weeks),8,18,"1,059,390"
54,Need You Tonight,INXS,#1,8,25,"1,054,740"
55,Separate Lives,Phil Collins & Marilyn Manson,#!,9,21,"1,053,130"
56,La Bamba,Los Lobos,#1 (3 weeks),7,21,"1,047,530"
57,"Red, Red Wine",UB40,#1,6,40,"1,047,090"
58,Crazy Little Thing Called Love,Queen,#1 (4 weeks),12,22,"1,043,640"
59,Jack & Dianne,John Mellencamp,#1 (4 weeks),10,32,"1,036,880"
60,We Didn't Start the Fire,Billy Joel,#1 (2 weeks),8,19,"1,034,140"
61,How Will I Know,Whitney Houston,#1 (2 weeks),6,24,"1,034,050"
62,One More Try,George Michael,#1 (3 weeks),7,18,"1,026,810"
63,Money For Nothing,Dire Straits,#1 (3 weeks),8,22,"1,021,340"
64,Broken Wings,Mr. Mister,#1 (2 weeks),9,22,"1,021,230"
65,Here I Go Again,Whitesnake,#1,7,28,"1,019,860"
66,The Greatest Love of All,Whitney Houston,#1 (3 weeks),7,18,"1,015,050"
67,Right Here Waiting,Richard Marx,#1 (3 weeks),7,21,"1,014,700"
68,Blame it on the Rain,Milli Vanilli,#1 (2 weeks),6,23,"1,013,840"
69,Gloria,Laura Branigan,#2,10,36,"1,012,580"
70,Beat It,Michael Jackson,#1 (3 weeks),10,25,"1,008,450"
71,Can't Fight This Feeling,REO Speedwagon,#1 (3 weeks),8,18,"1,008,320"
72,Sweet Child O' Mine,Guns N' Roses,#1 (2 weeks),7,24,"1,007,660"
73,Down Under,Men at Work,#1 (4 weeks),10,25,"1,006,160"
74,Never Gonna Give You Up,Rick Astley,#1 (2 weeks),7,24,"1,002,260"
75,Rock With You,Michael Jackson,#1 (4 weeks),9,24,"996,590"
76,Shake You Down,Gregory Abbott,#1,8,22,"987,970"
77,Footloose,Kenny Loggins,#1 (3 weeks),11,23,"981,090"
78,Coming Up,Paul McCartney,#1 (3 weeks),11,21,"981,060"
79,Hard to Say I'm Sorry,Chicago,#1 (2 weeks),12,24,"968,270"
80,I Just Called to Say I Love You,Stevie Wonder,#1 (3 weeks),10,26,"961,510"
81,Lost in Your Eyes,Debbie Gibson,#1,7,19,"951,890"
82,Owner of a Lonely Heart,Yes,#1 (2 weeks),10,23,"950,130"
83,Got My Mind Set on You,George Harrison,#1,8,22,"949,270"
84,Could've Been,Tiffany,#1 (2 weeks),6,20,"945,660"
85,Cold Hearted,Paula Abdul,#1,8,21,"945,250"
86,Ghostbusters,Ray Parker Jr.,#1 (3 weeks),10,21,"940,770"
87,With or Without You,U2,#1 (3 weeks),8,18,"937,370"
88,I Can't Go For That(No Can Do),Hall & Oates,#1,12,21,"932,760"
89,"Wild, Wild West",The Escape Club,#1,7,27,"932,640"
90,Islands in the Stream,Kenny Rogers & Dolly Parton,#1 (2 weeks),12,25,"930,750"
91,Everybody Wants to Rule the World,Tears For Fears,#1 (2 weeks),8,24,"930,550"
92,So Emotional,Whitney Houston,#1,8,19,"926,770"
93,It's Still Rock & Roll to Me,Billy Joel,#1 (2 weeks),11,21,"925,070"
94,Shakedown,Bob Seger,#1,7,18,"924,610"
95,Arthur's Theme (The Best That You Can Do),Christopher Cross,#1 (3 weeks),12,24,"919,330"
96,Party All the Time,Eddie Murphy,#2,9,22,"913,210"
97,Karma Chameleon,Culture Club,#1 (3 weeks),9,22,"910,770"
98,Stuck With You,Huey Lewis & The News,#1 (3 weeks),7,19,"908,220"
99,Kyrie,Mr. Mister,#1 (2 weeks),7,20,"907,520"
100,The Way it Is,Bruce Hornsby & The Range,#1,8,22,"907,440"
