Rank,Song,Artist,Url
1,Physical,Olivia Newton-John,https://www.tencymusic.com/song.php?id=19117
2,Bette Davis Eyes,Kim Carnes,https://www.tencymusic.com/song.php?id=6973
5,"Say You, Say Me",Lionel Richie,https://www.tencymusic.com/song.php?id=10358
6,Every Breath You Take,The Police,https://www.tencymusic.com/song.php?id=11476
7,Another Day in Paradise,Phil Collins,https://www.tencymusic.com/song.php?id=13668
8,Walk Like an Egyptian,The Bangles,https://www.tencymusic.com/song.php?id=10908
9,Eye of the Tiger,Survivor,https://www.tencymusic.com/song.php?id=7252
12,Like a Virgin,Madonna,https://www.tencymusic.com/song.php?id=10593
13,Another One Bites the Dust,Queen,https://www.tencymusic.com/song.php?id=10008
14,Call Me,Blondie,https://www.tencymusic.com/song.php?id=13221
15,Faith,George Michael,https://www.tencymusic.com/song.php?id=11897
18,Lady,Kenny Rogers,https://www.tencymusic.com/song.php?id=6108
21,All Night Long (All Night),Lionel Richie,https://www.tencymusic.com/song.php?id=5407
22,Jump,Van Halen,https://www.tencymusic.com/song.php?id=10333
26,Miss You Much,Janet Jackson,https://www.tencymusic.com/song.php?id=45003
27,Billie Jean,Michael Jackson,https://www.tencymusic.com/song.php?id=12258
28,(Just Like) Starting Over,John Lennon,https://www.tencymusic.com/song.php?id=18270
34,Straight Up,Paula Abdul,https://www.tencymusic.com/song.php?id=19016
35,Every Rose Has its Thorn,Poison,https://www.tencymusic.com/song.php?id=13544
36,Upside Down,Diana Ross,https://www.tencymusic.com/song.php?id=5467
37,Livin' on a Prayer,Bon Jovi,https://www.tencymusic.com/song.php?id=13033
38,What's Love Got to Do With It,Tina Turner,https://www.tencymusic.com/song.php?id=13766
40,I Want to Know What Love Is,Foreigner,https://www.tencymusic.com/song.php?id=6355
41,Woman in Love,Barbra Streisand,https://www.tencymusic.com/song.php?id=13627
42,Total Eclipse of the Heart,Bonnie Tyler,https://www.tencymusic.com/song.php?id=6117
45,Jessie's Girl,Rick Springfield,https://www.tencymusic.com/song.php?id=20640
46,Don't You Want Me,The Human League,https://www.tencymusic.com/song.php?id=11431
47,Roll With It,Steve Winwood,https://www.tencymusic.com/song.php?id=6392
48,Nothing's Gonna Stop Us Now,Starship,https://www.tencymusic.com/song.php?id=6461
49,Crazy For You,Madonna,https://www.tencymusic.com/song.php?id=7241
50,Against All Odds (Take a Look at Me Now),Phil Collins,https://www.tencymusic.com/song.php?id=7226
52,My Prerogative,Bobby Brown,https://www.tencymusic.com/song.php?id=13847
53,We Are the World,USA for Africa,https://www.tencymusic.com/song.php?id=5454
54,Need You Tonight,INXS,https://www.tencymusic.com/song.php?id=12896
56,La Bamba,Los Lobos,https://www.tencymusic.com/song.php?id=27347
58,Crazy Little Thing Called Love,Queen,https://www.tencymusic.com/song.php?id=10332
60,We Didn't Start the Fire,Billy Joel,https://www.tencymusic.com/song.php?id=13116
61,How Will I Know,Whitney Houston,https://www.tencymusic.com/song.php?id=13796
62,One More Try,George Michael,https://www.tencymusic.com/song.php?id=14155
64,Broken Wings,Mr. Mister,https://www.tencymusic.com/song.php?id=13167
67,Right Here Waiting,Richard Marx,https://www.tencymusic.com/song.php?id=14022
68,Blame it on the Rain,Milli Vanilli,https://www.tencymusic.com/song.php?id=44245
69,Gloria,Laura Branigan,https://www.tencymusic.com/song.php?id=9782
70,Beat It,Michael Jackson,https://www.tencymusic.com/song.php?id=12689
72,Sweet Child O' Mine,Guns N' Roses,https://www.tencymusic.com/song.php?id=13329
74,Never Gonna Give You Up,Rick Astley,https://www.tencymusic.com/song.php?id=13974
75,Rock With You,Michael Jackson,https://www.tencymusic.com/song.php?id=7667
76,Shake You Down,Gregory Abbott,https://www.tencymusic.com/song.php?id=26423
78,Coming Up,Paul McCartney,https://www.tencymusic.com/song.php?id=11299
80,I Just Called to Say I Love You,Stevie Wonder,https://www.tencymusic.com/song.php?id=75811
81,Lost in Your Eyes,Debbie Gibson,https://www.tencymusic.com/song.php?id=17484
82,Owner of a Lonely Heart,Yes,https://www.tencymusic.com/song.php?id=13793
83,Got My Mind Set on You,George Harrison,https://www.tencymusic.com/song.php?id=11678
84,Could've Been,Tiffany,https://www.tencymusic.com/song.php?id=42991
85,Cold Hearted,Paula Abdul,https://www.tencymusic.com/song.php?id=44129
86,Ghostbusters,Ray Parker Jr.,https://www.tencymusic.com/song.php?id=11300
87,With or Without You,U2,https://www.tencymusic.com/song.php?id=11772
89,"Wild, Wild West",The Escape Club,https://www.tencymusic.com/song.php?id=48251
91,Everybody Wants to Rule the World,Tears For Fears,https://www.tencymusic.com/song.php?id=9986
92,So Emotional,Whitney Houston,https://www.tencymusic.com/song.php?id=9978
95,Arthur's Theme (The Best That You Can Do),Christopher Cross,https://www.tencymusic.com/song.php?id=10095
96,Party All the Time,Eddie Murphy,https://www.tencymusic.com/song.php?id=9828
97,Karma Chameleon,Culture Club,https://www.tencymusic.com/song.php?id=11301
99,Kyrie,Mr. Mister,https://www.tencymusic.com/song.php?id=27640
